LINE_ID,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,RATING_MW
l_7865,N_59120,N_59181,0.0042442,0.025072,0.04928844,153.014578
l_7866,N_59121,N_59124,0.00082117,0.0090132,0.02406305,163.9923442
l_7867,N_59121,N_59129,0.0049308,0.029651,0.05717015,153.014578
l_7868,N_59129,N_59134,0.0035917,0.021476,0.04182465,153.014578
l_7869,N_59132,N_59140,0.0070489,0.043428,0.02952866,132.072715
l_7870,N_59132,N_59173,0.0092985,0.038998,0.02847733,122.758669
l_7871,N_59134,N_59135,0.0020537,0.012279,0.02585227,153.014578
l_7872,N_59135,N_59148,0.0015917,0.011726,0.02354065,163.9923442
l_7873,N_59140,N_59144,0.0086536,0.053401,0.03625456,132.072715
l_7874,N_59146,N_59152,0.0025641,0.015519,0.02973762,153.014578
l_7875,N_59146,N_59180,0.0019214,0.011663,0.0220714,153.014578
l_7876,N_59148,N_59158,0.0043161,0.02563,0.0500198,153.014578
l_7877,N_59148,N_59185,0.0028522,0.018855,0.03825274,153.014578
l_7878,N_59152,N_59158,0.0021611,0.012583,0.0250099,153.014578
l_7879,N_59152,N_59168,0.0022647,0.017088,0.03436739,204.9046044
l_7880,N_59158,N_59168,0.0025792,0.019479,0.03909511,163.9923442
l_7881,N_59158,N_59185,0.0028938,0.018429,0.03741037,153.014578
l_7882,N_59158,N_59188,0.0049452,0.00482,0.09689214,204.9046044
l_7883,N_59166,N_143673,0.00013719,0.00072878,0.00020896,118.6820865
l_7884,N_59166,N_143674,0.00013719,0.00072878,0.00020896,118.6820865
l_7885,N_59166,N_143677,0.00013719,0.00072878,0.00020896,132.0700153
l_7886,N_59168,N_59181,0.0014488,0.011614,0.03057999,153.014578
l_7887,N_59173,N_59175,0.014253,0.051638,0.03761933,119.3570174
l_7888,N_59174,N_142761,0.00099889,0.0012056,4.40E-07,114.0277632
l_7889,N_59180,N_59181,0.0010767,0.0071599,0.01376524,153.014578
l_7890,N_59185,N_59188,6.38E-03,0.062174,0.12495155,204.9046044
l_7916,N_59904,N_60006,0.00001,0.00024,0.00504116,405.021155
l_7917,N_59904,N_60500,0.002547,0.042677,0.93529843,573.2449433
l_7918,N_59904,N_60500,0.002547,0.042677,0.93529843,573.2449433
l_7919,N_59904,N_140903,4.83E-04,0.006603,0.14239971,369.105244
l_7920,N_59904,N_143692,0.0000231,0.000406355,0.00840411,555.0229003
l_7929,N_60006,N_60007,0,0.0001,0.00010448,332.9252456
l_8004,N_60500,N_60505,0,0.0001,0,888.8296015
l_8005,N_60500,N_60505,0,0.0001,0,888.8296015
l_8006,N_60500,N_60722,5.88E-04,0.00965458,0.20997215,889.093689
l_8007,N_60500,N_142563,0.000131,0.001366,0.02911074,448.0674305
l_8008,N_60501,N_60505,0.00159,0.02646,0.57778746,871.9279963
l_8009,N_60501,N_60505,1.58E-03,0.02646,0.57778746,871.9279963
l_8010,N_60501,N_79002,0.00147,0.02369,0.53974368,604.935453
l_8011,N_60501,N_79004,1.48E-03,0.02363,0.53974368,604.935453
l_8012,N_60501,N_143961,0.00E+00,0.0001,0,2740.611713
l_8014,N_60504,N_79491,0.003134,0.05034,1.14642639,731.1693163
l_8015,N_60504,N_79492,0.003134,0.0502,1.14642639,800.3602623
l_8016,N_60504,N_142815,0.00002,0.00019,0.00420532,289.369281
l_8039,N_60702,N_60703,0,-0.020164,0,668.0523845
l_8040,N_60702,N_60722,0.00061,0.01016,0.22111233,867.9666828
l_8041,N_60703,N_60712,0.00064,0.01062,0.23119465,889.093689
l_8049,N_60712,N_144011,0,0.0001,0,2740.611713
l_8057,N_60722,N_60725,0.00E+00,0.0001,0,415.584658
l_8058,N_60722,N_143015,0.00018,0.0019,0.04066884,436.7116645
l_8061,N_60725,N_143378,0,0.0001,0.00041792,360.7231043
l_8070,N_61001,N_140383,0.00044,0.00384,0.07566311,289.3507949
l_8220,N_79000,N_79005,0.00059525,0.00955,0.2162736,800.3602623
l_8221,N_79000,N_79006,0.001154,0.011855,0.25536871,342.696486
l_8222,N_79000,N_79491,0,0.0001,0,731.1693163
l_8223,N_79000,N_79492,0,0.0001,0,800.3602623
l_8224,N_79000,N_140473,0.00129,0.011536,0.24454197,257.9243729
l_8225,N_79001,N_79002,0,-0.01959,0,604.935453
l_8226,N_79003,N_79004,0,-0.01959,0,604.935453
l_8227,N_79005,N_140503,0.00039,0.00354,0.07356045,218.3112359
l_8228,N_79005,N_140603,0.00085,0.00726,0.16110163,218.3112359
l_8229,N_79006,N_141867,0,0.0001,0.0018937,218.3112359
l_8491,N_140383,N_142915,0.0006,0.005627,0.18916104,412.6796948
l_8492,N_140442,N_140803,0.000438,0.003762,0,318.0888053
l_8493,N_140653,N_140656,0,0.0001,0,411.0951693
l_8494,N_140753,N_141053,0.00029,0.002613,0,414.5283078
l_8495,N_141351,N_142962,0.00030185,0.0026928,0.05779703,155.4583918
l_8496,N_141605,N_141606,0,0.0001,0,340.1595451
T_53,N_798,N_33798,0.0013875,0.031488,,
T_201,N_1422,N_1423,0.00024,0.01894,,
T_202,N_1423,N_29048,0.00234,0.10975,,
T_203,N_29048,N_1422,0.00238,0.13267,,
T_204,N_1422,N_1424,0.00024,0.01894,,
T_205,N_1424,N_29050,0.00234,0.10975,,
